Date,Open,High,Low,Close,Volume,Open_weekly,High_weekly,Low_weekly,Close_weekly,Volume_weekly
2007-08-13,1840.890015,1849.310059,1820.959961,1849.26001,330100,1832.540039,1928.640015,1814.300049,1828.48999,1824800.0
2007-08-14,1841.150024,1857.130005,1801.069946,1817.890015,405700,1832.540039,1928.640015,1814.300049,1828.48999,1824800.0
2007-08-16,1754.189941,1755.319946,1681.709961,1691.97998,508200,1832.540039,1928.640015,1814.300049,1828.48999,1824800.0
2007-08-17,1702.660034,1705.170044,1626.869995,1638.069946,493200,1832.540039,1928.640015,1814.300049,1828.48999,1824800.0
2007-08-20,1700.47998,1732.390015,1693.420044,1731.27002,366700,1840.890015,1857.130005,1626.869995,1638.069946,1737200.0
2007-08-21,1740.849976,1764.25,1721.180054,1736.180054,458900,1840.890015,1857.130005,1626.869995,1638.069946,1737200.0
2007-08-22,1741.930054,1764.609985,1737.060059,1759.5,402600,1840.890015,1857.130005,1626.869995,1638.069946,1737200.0
2007-08-23,1801.47998,1816.189941,1795.069946,1799.719971,394700,1840.890015,1857.130005,1626.869995,1638.069946,1737200.0
2007-08-24,1793.170044,1802.709961,1775.069946,1791.329956,376000,1840.890015,1857.130005,1626.869995,1638.069946,1737200.0
2007-08-27,1825.969971,1834.650024,1802.579956,1803.030029,366000,1700.47998,1816.189941,1693.420044,1791.329956,1998900.0
2007-08-28,1806.579956,1829.430054,1792.069946,1829.310059,414100,1700.47998,1816.189941,1693.420044,1791.329956,1998900.0
2007-08-29,1773.589966,1831.22998,1773.050049,1826.189941,385900,1700.47998,1816.189941,1693.420044,1791.329956,1998900.0
2007-08-30,1859.449951,1866.319946,1836.089966,1841.699951,423300,1700.47998,1816.189941,1693.420044,1791.329956,1998900.0
2007-08-31,1844.280029,1873.349976,1844.089966,1873.23999,360400,1700.47998,1816.189941,1693.420044,1791.329956,1998900.0
2007-09-03,1876.920044,1881.920044,1863.209961,1881.810059,385700,1825.969971,1873.349976,1773.050049,1873.23999,1949700.0
2007-09-04,1881.170044,1899.660034,1871.869995,1874.73999,425700,1825.969971,1873.349976,1773.050049,1873.23999,1949700.0
2007-09-05,1883.829956,1898.670044,1859.52002,1865.589966,382900,1825.969971,1873.349976,1773.050049,1873.23999,1949700.0
2007-09-06,1862.0,1889.060059,1844.640015,1888.810059,447300,1825.969971,1873.349976,1773.050049,1873.23999,1949700.0
2007-09-07,1886.599976,1899.040039,1869.560059,1884.900024,392500,1825.969971,1873.349976,1773.050049,1873.23999,1949700.0
2007-09-10,1845.589966,1846.819946,1811.339966,1835.869995,360200,1876.920044,1899.660034,1844.640015,1884.900024,2034100.0
2007-09-11,1844.680054,1851.349976,1827.900024,1847.359985,420500,1876.920044,1899.660034,1844.640015,1884.900024,2034100.0
2007-09-12,1853.939941,1855.310059,1813.329956,1813.52002,433900,1876.920044,1899.660034,1844.640015,1884.900024,2034100.0
2007-09-13,1817.869995,1848.98999,1805.880005,1848.02002,338400,1876.920044,1899.660034,1844.640015,1884.900024,2034100.0
2007-09-14,1856.170044,1875.949951,1849.369995,1870.02002,373100,1876.920044,1899.660034,1844.640015,1884.900024,2034100.0
2007-09-17,1873.650024,1876.040039,1853.449951,1871.680054,315800,1845.589966,1875.949951,1805.880005,1870.02002,1926100.0
2007-09-18,1867.609985,1870.829956,1837.219971,1838.609985,403800,1845.589966,1875.949951,1805.880005,1870.02002,1926100.0
2007-09-19,1892.780029,1905.75,1886.949951,1902.650024,480100,1845.589966,1875.949951,1805.880005,1870.02002,1926100.0
