Date,Open,High,Low,Close,Volume
2016-12-06,4576.870117,4639.910156,4558.899902,4631.939941,122977200
2016-12-07,4676.609863,4694.720215,4658.72998,4694.720215,141483500
2016-12-08,4709.890137,4748.509766,4688.580078,4735.47998,149634900
2016-12-09,4741.100098,4780.52002,4737.379883,4764.069824,121620200
2016-12-12,4769.839844,4780.950195,4754.149902,4760.77002,98372500
2016-12-13,4754.220215,4807.879883,4746.549805,4803.870117,110469000
2016-12-14,4778.959961,4790.629883,4765.009766,4769.240234,109393800
2016-12-15,4776.830078,4830.299805,4776.330078,4819.22998,141188300
2016-12-16,4815.350098,4856.959961,4804.700195,4833.27002,206338400
2016-12-19,4820.490234,4829.549805,4812.080078,4822.77002,94842000
2016-12-20,4822.299805,4852.580078,4815.22998,4849.890137,87772700
2016-12-21,4831.560059,4851.52002,4821.240234,4833.819824,66626600
2016-12-22,4825.149902,4841.649902,4818.810059,4834.629883,65716200
2016-12-23,4837.410156,4844.799805,4825.930176,4839.680176,48362600
2016-12-27,4840.169922,4852.549805,4837.0,4848.279785,35125700
2016-12-28,4846.140137,4851.509766,4840.140137,4848.009766,49371200
2016-12-29,4824.75,4845.669922,4822.290039,4838.470215,45150100
2016-12-30,4837.680176,4864.290039,4825.140137,4862.310059,53055000
2017-01-02,4845.959961,4896.009766,4843.930176,4882.379883,34310400
2017-01-03,4904.77002,4929.600098,4896.109863,4899.330078,82609500
2017-01-04,4912.950195,4913.939941,4879.22998,4899.399902,77276800
2017-01-05,4881.720215,4905.839844,4874.790039,4900.640137,88092000
2017-01-06,4885.189941,4911.490234,4874.419922,4909.839844,73709000
2017-01-09,4915.350098,4915.600098,4867.830078,4887.569824,72709600
2017-01-10,4894.450195,4906.149902,4868.5,4888.22998,92809300
2017-01-11,4890.040039,4916.47998,4856.5,4888.709961,99652700
2017-01-12,4873.009766,4889.209961,4857.439941,4863.970215,99417200
2017-01-13,4889.450195,4924.580078,4883.060059,4922.490234,106285900
2017-01-16,4883.430176,4911.390137,4879.799805,4882.180176,71928500
2017-01-17,4865.189941,4889.160156,4841.680176,4859.689941,87737000
2017-01-18,4874.310059,4875.740234,4827.109863,4853.399902,88911500
2017-01-19,4859.759766,4867.580078,4829.819824,4841.140137,95638900
2017-01-20,4834.299805,4869.379883,4818.879883,4850.669922,117756800
2017-01-23,4816.97998,4842.970215,4800.390137,4821.410156,78546600
2017-01-24,4831.950195,4840.5,4816.72998,4830.029785,87954000
2017-01-25,4865.089844,4890.160156,4854.549805,4877.669922,114294300
2017-01-26,4891.859863,4901.069824,4855.759766,4867.240234,94017900
2017-01-27,4867.310059,4867.310059,4829.700195,4839.97998,79429000
2017-01-30,4823.5,4830.689941,4771.97998,4784.640137,83384600
2017-01-31,4790.279785,4812.549805,4748.899902,4748.899902,98487800
2017-02-01,4786.850098,4823.810059,4782.609863,4794.580078,97905700
2017-02-02,4785.140137,4812.310059,4774.180176,4794.290039,98607300
2017-02-03,4808.459961,4847.470215,4803.910156,4825.419922,80815700
2017-02-06,4829.680176,4841.169922,4773.350098,4778.080078,76878800
2017-02-07,4762.169922,4787.939941,4750.029785,4754.470215,83945400
2017-02-08,4768.0,4790.290039,4733.819824,4766.600098,102120800
2017-02-09,4793.009766,4831.310059,4769.859863,4826.240234,100798200
2017-02-10,4842.910156,4845.450195,4815.669922,4828.319824,122653200
2017-02-13,4844.220215,4906.709961,4841.600098,4888.189941,102000800
2017-02-14,4887.22998,4897.890137,4878.790039,4895.819824,95785900
2017-02-15,4910.569824,4932.350098,4902.160156,4924.859863,96447600
2017-02-16,4925.540039,4928.25,4890.47998,4899.459961,91475500
2017-02-17,4896.970215,4903.160156,4843.009766,4867.580078,102966800
2017-02-20,4894.25,4901.410156,4856.120117,4864.990234,68415900
2017-02-21,4865.890137,4900.379883,4849.910156,4888.759766,83739300
2017-02-22,4899.649902,4922.640137,4866.120117,4895.879883,99237500
2017-02-23,4900.799805,4916.439941,4880.490234,4891.290039,107821600
2017-02-24,4886.509766,4890.109863,4806.490234,4845.240234,117178100
2017-02-27,4864.129883,4869.509766,4833.77002,4845.180176,89282400
2017-02-28,4862.649902,4865.950195,4836.529785,4858.580078,96712700
2017-03-01,4897.47998,4970.640137,4897.47998,4960.830078,120246400
2017-03-02,4965.27002,4972.879883,4955.410156,4963.799805,106837200
2017-03-03,4953.299805,5002.319824,4948.720215,4995.129883,105338700
2017-03-06,4983.959961,4985.240234,4960.259766,4972.189941,90426900
2017-03-07,4974.790039,4974.790039,4941.259766,4955.0,79830000
2017-03-08,4941.180176,4976.040039,4933.77002,4960.47998,82332500
2017-03-09,4950.529785,4988.629883,4939.870117,4981.509766,114473500
2017-03-10,4994.0,5022.100098,4990.149902,4993.319824,103802900
2017-03-13,4997.879883,5013.080078,4986.060059,4999.600098,84024800
2017-03-14,5006.049805,5006.049805,4958.879883,4974.259766,91792700
