Date,Open,High,Low,Close,Volume,Index
2016-12-09,1965.709961,2031.069946,1960.650024,2024.689941,1121300,^KS11
2016-12-16,2031.949951,2044.420044,2020.969971,2042.23999,1647100,^KS11
2016-12-23,2039.400024,2053.459961,2031.540039,2035.900024,1434700,^KS11
2016-12-30,2038.329956,2044.430054,2016.25,2026.459961,1371700,^KS11
2017-01-06,2022.22998,2051.840088,2015.680054,2049.120117,1866200,^KS11
2017-01-13,2053.179932,2087.139893,2039.5,2076.790039,2320600,^KS11
2017-01-20,2077.030029,2091.02002,2058.350098,2065.610107,2623700,^KS11
2017-01-27,2067.620117,2088.600098,2058.590088,2083.590088,1325400,^KS11
2017-02-03,2077.659912,2092.449951,2064.050049,2073.159912,1958900,^KS11
2017-02-10,2085.72998,2088.370117,2052.290039,2075.080078,1404500,^KS11
2017-02-17,2074.939941,2092.590088,2068.159912,2080.580078,1592100,^KS11
2017-02-24,2084.159912,2108.98999,2077.129883,2094.120117,1718200,^KS11
2017-03-03,2095.469971,2112.580078,2072.090088,2078.75,1604100,^KS11
2017-03-10,2073.199951,2102.050049,2067.679932,2097.350098,1999700,^KS11
2017-03-17,2102.370117,2164.590088,2100.909912,2164.580078,1827100,^KS11
2017-03-24,2160.320068,2182.419922,2151.51001,2168.949951,1680500,^KS11
2017-03-31,2161.169922,2174.159912,2153.139893,2160.22998,2501900,^KS11
2017-04-07,2166.040039,2171.330078,2142.51001,2151.72998,2411000,^KS11
2017-04-14,2148.830078,2148.830078,2117.820068,2134.879883,2170900,^KS11
2017-04-21,2140.870117,2169.459961,2133.820068,2165.040039,1444700,^KS11
2017-04-28,2175.5,2217.040039,2166.830078,2205.439941,1702800,^KS11
2017-05-05,2213.610107,2241.23999,2212.870117,2241.23999,557000,^KS11
2017-05-12,2245.610107,2323.219971,2244.22998,2286.02002,1503500,^KS11
2017-05-19,2288.22998,2309.0,2267.080078,2288.47998,1813900,^KS11
