Date,Close,High,Low,Open,Volume
05-09-2019,26728.15039,26836.30078,26603.15039,26603.15039,256670000
06-09-2019,26797.46094,26860.86914,26708.39063,26790.25,209700000
09-09-2019,26835.50977,26900.83008,26762.17969,26866.23047,273120000
10-09-2019,26909.42969,26909.42969,26717.05078,26805.83008,322340000
11-09-2019,27137.03906,27137.03906,26885.48047,26928.05078,272590000
12-09-2019,27182.44922,27306.73047,27105.00977,27197.32031,250010000
13-09-2019,27219.51953,27277.55078,27193.94922,27216.66992,255260000
16-09-2019,27076.82031,27172.86914,27032.56055,27146.06055,220620000
17-09-2019,27110.80078,27110.80078,26984.14063,27010.11914,223580000
18-09-2019,27147.08008,27161.92969,26899.15039,27075.39063,212860000
19-09-2019,27094.78906,27272.16992,27064.21094,27186.05078,212360000
20-09-2019,26935.07031,27194.75,26926.67969,27102.17969,497640000
23-09-2019,26949.99023,27011.07031,26831.33984,26851.44922,204240000
24-09-2019,26807.76953,27079.67969,26704.96094,27034.07031,301750000
25-09-2019,26970.71094,27016.56055,26755.85938,26866.71094,237220000
26-09-2019,26891.11914,27015.07031,26803.83984,27004.10938,229180000
27-09-2019,26820.25,27012.53906,26715.82031,26987.25977,217780000
30-09-2019,26916.83008,26998.85938,26852.33008,26852.33008,222680000
01-10-2019,26573.03906,27046.21094,26562.2207,26962.53906,260110000
02-10-2019,26078.61914,26438.03906,25974.11914,26425.85938,309640000
03-10-2019,26201.03906,26205.19922,25743.46094,26039.01953,241610000
04-10-2019,26573.7207,26590.74023,26271.69922,26271.69922,221310000
07-10-2019,26478.01953,26655.83984,26424.53906,26502.33008,195200000
08-10-2019,26164.03906,26421.81055,26139.80078,26276.58984,244590000
09-10-2019,26346.00977,26424.31055,26249.75,26308.23047,190060000
10-10-2019,26496.66992,26603.31055,26314.50977,26317.34961,217680000
11-10-2019,26816.58984,27013.9707,26694.19922,26694.19922,282080000
14-10-2019,26787.35938,26874.33008,26749.17969,26766.42969,178620000
15-10-2019,27024.80078,27120.10938,26811.19922,26811.19922,245510000
16-10-2019,27001.98047,27058.33984,26943.28906,26972.31055,214660000
17-10-2019,27025.88086,27112.16016,26970.28906,27032.38086,222540000
18-10-2019,26770.19922,27018.25,26770.13086,27004.49023,288970000
21-10-2019,26827.64063,26852.66992,26747.61914,26852.66992,241030000
22-10-2019,26788.09961,26946.64063,26782.60938,26850.42969,265510000
23-10-2019,26833.94922,26896.89063,26745,26835.24023,247680000
24-10-2019,26805.5293,26931.7793,26714.33984,26893.92969,253590000
25-10-2019,26958.06055,27015.36914,26765.67969,26789.60938,274610000
28-10-2019,27090.7207,27167.88086,27028.71094,27040.33008,290770000
29-10-2019,27071.46094,27165.93945,27039.75977,27061.07031,269610000
30-10-2019,27186.68945,27204.35938,26999.64063,27110.71094,231750000
31-10-2019,27046.23047,27188.36914,26918.28906,27188.36914,273830000
01-11-2019,27347.35938,27347.42969,27142.94922,27142.94922,270870000
04-11-2019,27462.10938,27517.58008,27402.06055,27402.06055,273030000
05-11-2019,27492.63086,27560.35938,27453.55078,27500.23047,286350000
06-11-2019,27492.56055,27526.05078,27407.81055,27502.74023,237910000
07-11-2019,27674.80078,27774.66992,27590.16016,27590.16016,259020000
08-11-2019,27681.24023,27694.94922,27578.9707,27686.19922,221440000
11-11-2019,27691.49023,27714.39063,27517.66992,27580.66016,202350000
12-11-2019,27691.49023,27770.85938,27635.32031,27701.58984,213670000
13-11-2019,27783.58984,27806.40039,27587.19922,27622.03906,278390000
14-11-2019,27781.96094,27800.71094,27676.9707,27757.19922,303970000
15-11-2019,28004.89063,28004.89063,27843.53906,27843.53906,283720000
18-11-2019,28036.2207,28040.9707,27969.24023,27993.2207,252320000
19-11-2019,27934.01953,28090.21094,27894.51953,28079.75977,245890000
20-11-2019,27821.08984,27897.2793,27675.2793,27879.55078,258140000
21-11-2019,27766.28906,27828.33008,27708.33984,27820.2793,232020000
22-11-2019,27875.61914,27898.46094,27773.98047,27831.23047,214780000
25-11-2019,28066.4707,28068.68945,27917.76953,27917.76953,248420000
26-11-2019,28121.67969,28146.01953,28042.21094,28080.75,324050000
27-11-2019,28164,28174.9707,28075.23047,28156.4707,198210000
29-11-2019,28051.41016,28119.50977,28042.5293,28103.16016,120630000
02-12-2019,27783.03906,28109.83984,27782.34961,28109.74023,236610000
03-12-2019,27502.81055,27524.74023,27325.13086,27501.98047,275350000
04-12-2019,27649.7793,27727.44922,27612.08008,27634.63086,218200000
